foreign_table,rel,primary_table,no,fk_column_name,join,pk_column_name,fk_constraint_name
dbo.AccountForecast,>-,dbo.ForecastColumn,1,ForecastColumnId, = ,Id,FKSmkgonhC63rLIcIKRnjBaU4U
dbo.AccountForecast,>-,dbo.ForecastIndicator,1,IndicatorId, = ,Id,FKhuhtUVhYltOuoJs3yHM42Zy4hPo
dbo.AccountForecast,>-,dbo.ForecastRow,1,RowId, = ,Id,FKi4VhN0Fj9zsgAKQ639CX0AvWSoM
dbo.AccountForecast,>-,dbo.ForecastSheet,1,SheetId, = ,Id,FKEBP9XotHjYwjFrCFKCb6RzE42s
dbo.AccountForecast,>-,dbo.Period,1,PeriodId, = ,Id,FKhznWUaiTZb9oEHZgInRu78Chc0
dbo.AccountInCyclicTask,>-,dbo.Account,1,AccountId, = ,Id,FKwb48YXYopCAV9IgKWIGmAUSThm0
dbo.AccountInCyclicTask,>-,dbo.CyclicTasks,1,CyclicTaskId, = ,Id,FKUG0446VAEjv8PihGdjy1OPTTDVA
dbo.AccountInFolder,>-,dbo.Account,1,AccountId, = ,Id,FKu7JYGt4I5ydLgdYECnL9ymOF00g
dbo.AccountInFolder,>-,dbo.AccountFolder,1,FolderId, = ,Id,FKddXBytbecxefJanXAesedFMBXE
dbo.AccountInTag,>-,dbo.Account,1,EntityId, = ,Id,FKRwqFh6EBIufxUJ6s24ViSnCtNRU
dbo.AccountInTag,>-,dbo.AccountTag,1,TagId, = ,Id,FKdwbnl57mu2VN8wsTwfr2erpQPKI
dbo.AccountOrganizationChart,>-,dbo.Account,1,AccountId, = ,Id,FKlTt7QKMfEFZCVFXJu0EJa6JV3X0
dbo.AccountOrganizationChart,>-,dbo.AccountOrganizationChart,1,ParentId, = ,Id,FKvwQgsZmUZRhwRwgeDf92JifNi7o
dbo.AccountOrganizationChart,>-,dbo.Contact,1,ManagerId, = ,Id,FKACvxoo5va62gErbvEbrVhVAJfQ
dbo.AccountOrganizationChart,>-,dbo.Department,1,DepartmentId, = ,Id,FKpdJdJS76wvEybQb0VELVs3PjI
dbo.AccountOwnership,>-,dbo.Country,1,CountryId, = ,Id,FKcKZRUGkEnGzBqeJ5P1RD3AzmH2g
dbo.AccountTag,>-,dbo.TagType,1,TypeId, = ,Id,FKDRFIWZswLwyb7j18VmUsATS6h4
dbo.Activity,>-,dbo.Account,1,AccountId, = ,Id,FKirx80iw4YX19Eui684F7BsFSAp8
dbo.Activity,>-,dbo.Activity,1,ActivityConnectionId, = ,Id,FKPkYRMonMU4O22bg1UtAWBnc3Y8
dbo.Activity,>-,dbo.Activity,1,GlbRecurringParentId, = ,Id,FKa20XkLEsC2Fv0IZcvB5G1DRJP8U
dbo.Activity,>-,dbo.ActivityCategory,1,ActivityCategoryId, = ,Id,FKxbYl9M5fISILwRYbR5UEzft0zhE
dbo.Activity,>-,dbo.ActivityPriority,1,PriorityId, = ,Id,FKRpghQmUpyBNu4twZzCKLBY7j40
dbo.Activity,>-,dbo.ActivityResult,1,ResultId, = ,Id,FKnQ3mGrDrpeoZkUPaBKBirAN5Bgg
dbo.Activity,>-,dbo.ActivityStatus,1,StatusId, = ,Id,FKAK1LDtWcwDUemJxqCz8F7V48g
dbo.Activity,>-,dbo.ActivityType,1,TypeId, = ,Id,FKs81dBmHXam63xOdUniqSG8eOdg
dbo.Activity,>-,dbo.CallDirection,1,CallDirectionId, = ,Id,FKej8HeDOFjdb4ZiYWiUpnY54ow2Y
dbo.Activity,>-,dbo.Case,1,CaseId, = ,Id,FKiJYurD7rxTiCfe1DLABURNLUvA
dbo.Activity,>-,dbo.Change,1,ChangeId, = ,Id,FKPFXJJT00plpInQP9RVCqBy11oM
dbo.Activity,>-,dbo.ConfItem,1,ConfItemId, = ,Id,FK0yMFaIc7xDRS30f7OycJIp7l77g
dbo.Activity,>-,dbo.Contact,1,SenderContactId, = ,Id,FK7rCTtaJv7V8mVHs3kAFLTwpmu4A
dbo.Activity,>-,dbo.Contact,1,OrganizerId, = ,Id,FK1pn73RoCVd57Tu6HonzfFfI33D8
dbo.Activity,>-,dbo.Contact,1,ContactId, = ,Id,FKD8t0odGZO4owpC6Kfp3piB5CYgQ
dbo.Activity,>-,dbo.Contact,1,AuthorId, = ,Id,FKpTKvSEK1iTkF85m8so43cNMPM4
dbo.Activity,>-,dbo.Contact,1,OwnerId, = ,Id,FKxLbw957waHhgItDgCsX3oYCAFMs
dbo.Activity,>-,dbo.Contract,1,ContractId, = ,Id,FKc1L9l1Bj07k5LdEgvl6uCJG9sOE
dbo.Activity,>-,dbo.CyclicTasks,1,CyclicTaskId, = ,Id,FKLMnY2gAzLm3FesttCjDQfv0vIaY
dbo.Activity,>-,dbo.Document,1,DocumentId, = ,Id,FKfxxa9NVjPJvcFrQLdiPeTqrU16k
dbo.Activity,>-,dbo.EmailSendStatus,1,EmailSendStatusId, = ,Id,FKSIGyS0qFmWi1WmbPVi5gWhFMVeQ
dbo.Activity,>-,dbo.EmailType,1,MessageTypeId, = ,Id,FKrZK7gnTJhSpxEKG1ciE5V5HMAU
dbo.Activity,>-,dbo.EnrchEmailData,1,EnrchEmailDataId, = ,Id,FKNdbmc4c5lEyNjiJWTq8GqEo7kxQ
